Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
 ,LEGGINGS, , ,DAY DREAMER, , , , , , ,LAKIDS GIYIM SAN.VE TIC.,MAVERA (LOVETTI)TEKSTIL KUY. GIDA(LOVETTI),"ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053"
 ,LEGGINGS SET, , ,BE LOVED, , , , , , ,SAGA INDUSTRIAL LIMITED,CICEK TEKSTIL VE KONF.URUNLERI LTD,"ΡΟΥΑ_046.095,255"
 ,TOP, , ,FASHION-CHIC, , , , , , ,SHISHI XIAOGALA DRESS AND WEAVING CO LTD,KVS TEKSTIL LTD STI,"ΚΟΚΚΙΝΟ_242,011,046"
 ,BOLERO, , ,PROMOTION , , , , , , ,ΒΑΤΑΝΣΕΒΕΡ ΑΙΝΟΥΡ & ΣΙΑ ΟΕ,XIAMEN MICROUNION IND.,"ΣΙΕΛ_123,181,255"
 ,SKIRT SET, , ,PROMOTION, , , , , , ,FANGLE EXPORT,FANGLE EXPORT,"ΜΠΛΕ_010,010,172,ΧΑΚΙ_102,113,087"
 ,SKIRT, , ,SPORT LINE, , , , , , ,WPS SRL,EMF TEKSTIL KONFEKSIYON SAN VE TIC ANONIM SIRKETI,"ΜΑΡΕΝ_021,021,053,ΜΠΛΕ_010,010,172"
 ,TROUSERS SET, , ,SWIMMY , , , , , , ,OZGU MODA TEKSTIL SAN VE TIC LTD STI,A.H.ATALAY TEKSTIL KONFEKSIYON SA Y LTD STL,ΚΑΡΡΩ_
 ,CULOTTES, , ,SWEET DREAMS, , , , , , ,HANGHOU LI N HUARUI CLOTHING CO LTD,GAMZELIM  KIDSWEAR,"ΑΝΘΡΑΚΙ_111,111,111,ΣΚΟΥΡΟ ΜΠΛΕ_0,0,140"
 ,PLAYSUIT, , ,SWEET  DREAMS, , , , , , ,AMMIR BABY UNO SRL,,"ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207,ΤΥΡΚΟΥΑΖ_000,225,246"
 ,BLOUSE SWEATER, , ,SWIMMY, , , , , , ,MELCAN GROUP, ,"ΛΕΥΚΟ_255,255,255,ΡΟΔΑΚΙΝΙ_255,138,087"
 ,TRENCHCOAT, , ,BOUTIQUE, , , , , , ,"JIAXING LA LORI FASHION CO.,LTD", ,"ΛΑΙΜ_153,255,51,ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207,ΤΥΡΚΟΥΑΖ_000,225,246"
 ,BLOUSE, , ,BOUTIQUE, , , , , , ,XIAMEN KINGLAND CO LTD (C& D), ,"ΑΝΘΡΑΚΙ_039,039,039,ΜΑΡΕΝ_021,021,021,ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_010,010,172"
 ,SLEEVELESS BLOUSE, , , , , , , , , ,MAVERA (LOVETTI)TEKSTIL KUY. GIDA(LOVETTI), ,"ΜΑΡΕΝ_0,0,125"
 ,JUMPSUIT, , , , , , , , , ,CICEK TEKSTIL VE KONF.URUNLERI LTD, ,"ΜΑΡΕΝ_021,021,053,ΜΠΕΖ_189,174,136"
 ,TUNIC, , , , , , , , , ,KVS TEKSTIL LTD STI, ,"ΓΚΡΙ_175,175,175,ΜΠΛΕ_021,021,053"
