"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,REGULAR FIT,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,CARGO,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,RELAXED FIT,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,SLIM FIT,,1,0,
5,,,2021-01-01 00:00:00,2021-01-01 00:00:00,CHINOS,,1,0,
6,,,2021-01-01 00:00:00,2021-01-01 00:00:00,BIKER,,1,0,
