"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,Asos,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,Soliver,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,Zalando,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,Instagram,,1,0,
5,,,2021-01-01 00:00:00,2021-01-01 00:00:00,Pinterest,,1,0,
6,,,2021-01-01 00:00:00,2021-01-01 00:00:00,Shutterstock,,1,0,
