"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,POLO COLLAR,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,SHIRT COLLAR,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,FLAT KNITTED RIB,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,MAO COLLAR,,1,0,
5,,,2021-01-01 00:00:00,2021-01-01 00:00:00,STAND UP COLLAR,,1,0,
