"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,SHORT SLEEVE,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,LONG SLEEVE,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,TURN UP SLEEVE,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,SLEEVELESS,,1,0,
5,,,2021-01-01 00:00:00,2021-01-01 00:00:00,RAGLAN SLEEVE,,1,0,
6,,,2021-01-01 00:00:00,2021-01-01 00:00:00,CUP SLEEVE,,1,0,
7,,,2021-01-01 00:00:00,2021-01-01 00:00:00,"3/4 FLARED",,1,0,
8,,,2021-01-01 00:00:00,2021-01-01 00:00:00,FLARED,,1,0,
