"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,MAN,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,WOMAN,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,KIDS,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,UNISEX,,1,0,
